"name","x","y","z","lobe"
"Thal.L",-9.99,-19.16,16.28,"SCGM"
"Thal.R",10.92,-18.5,16.6,"SCGM"
"Caud.L",-12.84,8.92,19.71,"SCGM"
"Caud.R",13.5,9.66,20.87,"SCGM"
"Put.L",-24.79,0.54,10.42,"SCGM"
"Put.R",25.48,2.03,10.35,"SCGM"
"Pall.L",-19.13,-5.17,8.53,"SCGM"
"Pall.R",19.75,-3.87,8.56,"SCGM"
"Hip.L",-25.18,-23.25,-3.92,"SCGM"
"Hip.R",26.5,-20.99,-4.07,"SCGM"
"Amy.L",-22.86,-5.18,-7.49,"SCGM"
"Amy.R",22.77,-3.69,-7.91,"SCGM"
"Accbns.L",-9.34,11.14,2.89,"SCGM"
"Accbns.R",9.21,11.46,3.57,"SCGM"
"FP.L",-25.01,52.77,17.75,"Frontal"
"FP.R",26.44,52,18.6,"Frontal"
"INS.L",-36.42,1.01,10.16,"Insula"
"INS.R",37.5,2.65,9.83,"Insula"
"F1.L",-14.56,17.96,66.57,"Frontal"
"F1.R",15.09,17.55,67.52,"Frontal"
"F2.L",-38.15,18.31,52.01,"Frontal"
"F2.R",39.19,18.3,53.02,"Frontal"
"F3t.L",-49.76,28.6,18.59,"Frontal"
"F3t.R",51.84,27.82,17.72,"Frontal"
"F3o.L",-50.69,14.63,25.22,"Frontal"
"F3o.R",52.49,15.48,26.37,"Frontal"
"PRG.L",-34.28,-11.71,59.18,"Frontal"
"PRG.R",35.08,-10.59,59.79,"Frontal"
"TP.L",-40.44,11.07,-19.78,"Temporal"
"TP.R",40.99,12.93,-19.31,"Temporal"
"T1a.L",-56,-3.79,1.86,"Temporal"
"T1a.R",57.22,-0.98,-0.41,"Temporal"
"T1p.L",-62.37,-29.14,13.86,"Temporal"
"T1p.R",61.35,-23.87,11.5,"Temporal"
"T2a.L",-57.8,-4.41,-12.05,"Temporal"
"T2a.R",57.86,-1.74,-14.52,"Temporal"
"T2p.L",-60.95,-27.39,-0.91,"Temporal"
"T2p.R",60.97,-22.35,-2.18,"Temporal"
"TO2.L",-57.4,-52.7,10.87,"Temporal"
"TO2.R",58.32,-49.3,11.53,"Temporal"
"T3a.L",-47.97,-5.1,-29.12,"Temporal"
"T3a.R",46.31,-2.16,-31.18,"Temporal"
"T3p.L",-53.46,-28.21,-16,"Temporal"
"T3p.R",53.8,-23.36,-18.1,"Temporal"
"TO3.L",-51.81,-53.45,-6.68,"Temporal"
"TO3.R",54.19,-49.71,-6.86,"Temporal"
"POG.L",-38.53,-27.78,61.5,"Parietal"
"POG.R",37.25,-26.58,62.93,"Parietal"
"SPL.L",-29.28,-49.4,67.63,"Parietal"
"SPL.R",29.08,-47.79,68.92,"Parietal"
"SGa.L",-57,-32.5,46.94,"Parietal"
"SGa.R",58.23,-27.26,48.18,"Parietal"
"SGp.L",-54.86,-46.04,43.58,"Parietal"
"SGp.R",55.23,-40.29,43.9,"Parietal"
"AG.L",-50.45,-55.74,39.3,"Parietal"
"AG.R",52.15,-51.69,42.16,"Parietal"
"OLs.L",-32.05,-72.77,47.99,"Occipital"
"OLs.R",33.03,-71.06,49,"Occipital"
"OLi.L",-45.21,-75.63,8.06,"Occipital"
"OLi.R",45.47,-74.11,8.49,"Occipital"
"CALC.L",-10.47,-74.92,18.19,"Occipital"
"CALC.R",11.93,-73.63,18.36,"Occipital"
"FMC.L",-5.38,43.84,-7.87,"Frontal"
"FMC.R",5.51,43.41,-8.24,"Frontal"
"SMC.L",-5.79,-2.67,66.3,"Frontal"
"SMC.R",6.39,-2.85,67.64,"Frontal"
"SC.L",-5.7,20.6,-5.68,"Frontal"
"SC.R",5.66,20.42,-5.9,"Frontal"
"PAC.L",-6.82,36.58,30.93,"Cingulate"
"PAC.R",7.07,36.37,32.84,"Cingulate"
"CGa.L",-5.15,18.19,34.6,"Cingulate"
"CGa.R",5.75,19.31,34.15,"Cingulate"
"CGp.L",-6.3,-38.56,38.79,"Cingulate"
"CGp.R",6.96,-35.8,40.04,"Cingulate"
"PCN.L",-8.16,-60.06,47.25,"Parietal"
"PCN.R",9.33,-58.48,48.1,"Parietal"
"CN.L",-8.66,-80.04,37.62,"Occipital"
"CN.R",9.38,-78.23,37.98,"Occipital"
"FOC.L",-29.69,23.81,-6.49,"Frontal"
"FOC.R",29.31,23.43,-6.21,"Frontal"
"PHa.L",-21.68,-9.28,-20.7,"Temporal"
"PHa.R",22.59,-8.04,-20.63,"Temporal"
"PHp.L",-22.15,-32.31,-7.13,"Temporal"
"PHp.R",22.95,-30.25,-6.98,"Temporal"
"LG.L",-12.57,-65.51,4.55,"Occipital"
"LG.R",13.93,-62.73,5.03,"Occipital"
"TFa.L",-32.3,-4.53,-31.6,"Temporal"
"TFa.R",30.87,-2.55,-32.28,"Temporal"
"TFp.L",-36.02,-29.45,-15.04,"Temporal"
"TFp.R",36.53,-23.81,-18.05,"Temporal"
"TOF.L",-33.32,-53.65,-5.95,"Occipital"
"TOF.R",35.02,-49.88,-6.56,"Occipital"
"OF.L",-26.33,-76.86,-3.45,"Occipital"
"OF.R",27.24,-75.48,-2.29,"Occipital"
"FO.L",-39.82,18.29,14.62,"Frontal"
"FO.R",41.14,18.82,14.75,"Frontal"
"CO.L",-48.03,-8.28,21.64,"Frontal"
"CO.R",49.47,-5.66,21.1,"Frontal"
"PO.L",-48.4,-31.53,30.3,"Parietal"
"PO.R",48.86,-27.69,31.65,"Parietal"
"PP.L",-46.77,-5.34,2.46,"Temporal"
"PP.R",48.11,-3.56,2.9,"Temporal"
"H.L",-45.22,-20.04,17.31,"Temporal"
"H.R",46.04,-17.36,16.89,"Temporal"
"PT.L",-52.64,-29.69,20.8,"Temporal"
"PT.R",54.84,-25.33,22.39,"Temporal"
"SCLC.L",-12.29,-68.86,25.57,"Occipital"
"SCLC.R",9.09,-74.03,24.47,"Occipital"
"OP.L",-17.23,-96.36,17.23,"Occipital"
"OP.R",18.09,-95.14,18.35,"Occipital"
